address,bookmarks,dislikes,food_type,likes,name,number_of_reviews,price_range
"Shop 18E, Tai Yuen Village, Yung Shue Wan,",318,0,American,15,Lamma Grill,(18 Reviews),$51-100
"G/F, 3-4 First Street, Sok Kwu Wan,,",453,2,Guangdong,31,Wai Kee Seafood Restaurant 威記海鮮酒家,(45 Reviews),$101-200
"G/F, 9-10 First Street, Sok Kwu Wan,,",202,0,Guangdong,10,Fu Kee Seafood Restaurant 富記海鮮酒家,(12 Reviews),$101-200
"7 Mo Tat Wan,",568,3,Mediterranean,17,The Bay 星浪餐廳,(23 Reviews),$201-400
"Shop 20, G/F, Fu Tung Shopping Centre, 6 Fu Tung Street,",11,4,Taiwan,7,Share Cup 續杯,(3 Reviews),Below $50
"Shop 32, G/F, Phase 2, Yat Tung Shopping Centre, 8 Yat Tung Street,",2,0,Guangdong,6,Hung Fook Tong 鴻福堂,(17 Reviews),Below $50
"Flat F, 3/F, Leapont Industrial Building, 18-28 Wo Liu Hang Street,",12,0,Hong Kong Style,2,新聯邦美食餐廳,(2 Reviews),Below $50
"Shop I1, G/F, Century Industrial Centre, 33-35 Au Pui Wa Street,",25,0,Western,1,Ti Amo,(1 Reviews),$51-100
"Shop G03, G/F, Shatin Galleria, 18-24 Shan Mei Street,",39,0,Western,1,Grove Sandwiches,(8 Reviews),Below $50
"Shop 3C, G/F, Goldfield Industrial Centre, 1 Sui Wo Road,",10,0,Hong Kong Style,1,順萬原,(1 Reviews),Below $50
"Food Market, Shan Mei Street,",16,0,Hong Kong Style,1,錦記飯店,(1 Reviews),Below $50
"Shop 15, Fo Tan Cooked Food Market (West), Shan Mei Street,",97,0,Hong Kong Style,2,石器時代,(4 Reviews),Below $50
"Shop5, G/F, Shatin Galleria, 18-24 Shan Mei Street,",19,1,Hong Kong Style,1,Super Fast Food 美好快餐,(7 Reviews),Below $50
樂景街2號銀禧街市13-14號舖,59,0,Hong Kong Style,2,Wai Fung Vegetarian Food 惠豐涼茶素食,(2 Reviews),Below $50
"ShopB2E,G/F,Unison Industrial Centre,27-31Au Pui Wan Street,",21,0,Italian,2,Pizza Hut 必勝客,(2 Reviews),$101-200
"18/F, International Industrial Centre, 2-8 Kwei Tei Street,",84,0,Western,1,Wine Lok 吉祥酒莊,(1 Reviews),$401-800
"Shop B, G/F, Haribest Industrial Building, 45-47 Au Pui Wan Street,",89,1,Western,0,Comma Café 識食堂,(3 Reviews),$51-100
"Shop A, 5/F, Universal Industrial Centre, 23-25 Shan Mei Street,",18,0,Hong Kong Style,1,成記食堂,(2 Reviews),Below $50
"Shop G, G/F, Haribest Industrial Building, 45-47 Au Pui Wan Street,",35,0,Hong Kong Style,1,Sam Mei Kitchen 心美小廚,(2 Reviews),Below $50
"Shop C1, G/F, Kinho Industrial Building Block 1, 14-24 Au Pui Wan Street,",33,0,Guangdong,4,得廚,(10 Reviews),Below $50
"Shop 10-12, Cooked Food Stalls, Fo Tan (West),",48,0,Hong Kong Style,5,新泰源茶餐廳,(5 Reviews),Below $50
"Shop 315-317, 3/F, Jubilee Square, 2-18 Lok King Street,",8,0,Hong Kong Style,2,Maxim's MX 美心MX,(2 Reviews),Below $50
"B8A, 1/F, Shatin Galleria, 18-25 Shan Mei Street,",94,0,Western,7,Gourmet Coffee 歌美咖啡店,(8 Reviews),Below $50
"Shop 101, G/F, The Palazzo Shopping Centre, 28 Lok King Street,",34,0,Hong Kong Style,5,Café de Coral 大家樂,(9 Reviews),Below $50
"Fo Tan Cooked Food Market (East), Shan Mei Street,",174,4,Hong Kong Style,8,德記大排檔,(21 Reviews),$51-100
"Shop 1, Fo Tan MTR Station,",15,1,Western,4,Arome Bakery 東海堂,(6 Reviews),Below $50
"Shop FOT 1B, Fo Tan Station,",17,0,Hong Kong Style,2,Tong Kee Bao Dim 唐記包點,(3 Reviews),Below $50
"Shop G80B-81B, G/F, Plaza Ascot, 1 Tsun King Road,",19,1,Taiwan,3,The Leaf Kitchen 一葉小廚,(4 Reviews),$51-100
山尾西街熟食市場W1,77,0,Guangdong,2,老香港食家,(4 Reviews),Below $50
"Shop 06-10, 11/F, CCT Telcom Building, 11 Wo Shing Street,",19,0,Western,2,Guru Guru,(2 Reviews),$101-200
"Room C, 1/F, On Shing Industrial Building, 2-16 Wo Liu Hang Road,",22,0,Hong Kong Style,2,富濠飲食中心,(3 Reviews),Below $50
"Shop No.105, The Palazzo, No.28 Lok King Street,",13,0,Western,2,A1-Bakery 英王麵包店,(3 Reviews),Below $50
"Room B, 1/F, Supreme Industrial Building, 15-17 Shan Mei Street,",122,0,Hong Kong Style,3,新越瀧棧,(4 Reviews),Below $50
"Shop 1-2, G/F, Shatin Galleria, 18-24 Shan Mei Street,",20,2,American,2,McDonald's 麥當勞,(10 Reviews),Below $50
"Shop E21-22, Shan Mei Street, Food Market, Fo Tan East,",10,0,Guangdong,1,彩湖大排檔,(1 Reviews),$51-100
"Shop 55, G/F, Wah Luen Industrial Centre, 15-21 Wong Chuk Yeung Street,",6,0,Hong Kong Style,1,新佳美食堂,(2 Reviews),Below $50
"Shop 10-12 & 17, 1/F, Shatin Galleria, 18-24 Shan Mei Street,",6,0,Hong Kong Style,1,Fairwood 大快活,(1 Reviews),Below $50
"G/F, 60 Fo Tan Tsuen,",12,1,Hong Kong Style,1,月和茶餐廳,(1 Reviews),Below $50
"Shop 50, G/F, Wah Luen Industrial Building, 15 Won Chuk Yeung Street,",12,1,Hong Kong Style,0,大快樂快餐,(1 Reviews),Below $50
"Shop H1-H2, G/F, Valiant Industrial Centre, 2-12 Au Pui Wan Street,",20,2,Hong Kong Style,2,館一千,(1 Reviews),Below $50
"Shop G83, Plaza Ascot, 1 Tsun King Road,",39,1,Hong Kong Style,0,Chiu Chong 潮莊,(6 Reviews),Below $50
"Shop B1, G/F, Valiant Industrial Centre, 2-12 Au Pui Wan Street,",20,0,Hong Kong Style,4,永盛茶餐廳,(2 Reviews),Below $50
火炭村58號地下,37,1,Hong Kong Style,2,家樂餐廳,(6 Reviews),Below $50
"Shop C3, G/F, Kinho Industrial Building Phase 1, 20-24 Au Pui Wan Street,",11,1,Hong Kong Style,0,老友記美食,(2 Reviews),Below $50
"Flat B, 4/F, Universal Industrial Centre, 23-25 Shan Mei Street,",154,1,Hong Kong Style,1,順香園餅家,(4 Reviews),Below $50
"1/F, Kam Ma Building, 16 Cameron Road,",2060,4,Guangxi,28,Lau Yuen Restaurant 柳園菜館,(52 Reviews),$51-100
"Shop 13, G/F, Sunshine City Phase III, 18 On Luk Street,",569,1,Guangxi,24,Ah Kwai Friend's Noodles 阿桂老友粉,(37 Reviews),Below $50
"Shop 2, G/F, 27-29 Yau San Street,,",1003,19,Guangxi,79,Luk Kee 陸記正宗桂林米粉,(146 Reviews),Below $50
"G/F, 450 Lockhart Road,",435,2,Guangxi,6,雲桂香米線專門店,(24 Reviews),Below $50
"1/F, 2 Sai Yeung Choi Street,",604,12,Guangxi,17,雲桂香米線專門店,(59 Reviews),Below $50
"UG1, Luxury Court, 9 Hau Fook Street,",378,0,Guangxi,4,雲桂香米線專門店,(23 Reviews),Below $50
"G/F, Fu Hang Building, 26-40 Yan Ching Street,",255,2,Guangxi,9,雲桂香米線專門店,(30 Reviews),Below $50
"Shop 6, G/F, Harmony Garden Block 6, 9 Siu Sai Wan Road,",128,2,Guangxi,8,雲桂香米線專門店,(15 Reviews),Below $50
"Shop 58, G/F, Tai Po Plaza, 1 On Tai Road,",156,0,Guangxi,4,雲桂香米線專門店,(8 Reviews),Below $50
"G/F., 450 Lockhart Road,",445,17,Guangxi,35,Wan Lam Noodles 雲南桂林過橋米線,(93 Reviews),Below $50
"2 Hart Avenue,",275,12,Guangxi,9,Wan Lam Noodles 雲南桂林過橋米線,(39 Reviews),Below $50
"Shop 15, Ka Wing Building, 4-6 Hoi Wan Street,",241,9,Guangxi,11,一線軒雲南桂林過橋米線,(33 Reviews),Below $50
"Shop E, G/F, Yuet Bor Building, 10 Shun Fong Street,",231,2,Guangxi,7,雲桂香米線專門店,(16 Reviews),Below $50
"183 Portland Street,",329,3,Guangxi,16,Wan Lam Noodles 雲南桂林過橋米線,(31 Reviews),Below $50
"2/F, Cheung Chi Hang Building, 98-102 San Fung Avenue,",168,0,Guangdong,6,Victoria Harbour Restaurant 海港酒家,(14 Reviews),$101-200
"Shop 15-19, 1/F, Sha Tin Galleria, 18-24 Shan Mei Street,",173,5,Indian,13,Asra Indian Restaurant 相聚印度餐廳,(30 Reviews),$51-100
"Shop AB, G/F, Rammon House, 101 Sai Yeung Choi Street,",289,2,Guangxi,4,雲桂香米線專門店,(19 Reviews),Below $50
"Shop 2, 2/F, Shek Wu Hui Municipal Services Building,",336,4,Hong Kong Style,27,林德記麵食,(38 Reviews),Below $50
"G/F,170 Jockey Club Road, Sheung Shui,",720,18,Italian,36,Souffle 梳乎厘,(69 Reviews),$101-200
"35-39 Fu Hing Street,",396,10,Western,24,Better Ole Restaurant 適雅餐廳,(53 Reviews),$51-100
"G/F, 1049 Ho Sheung Heung,",469,1,Hong Kong Style,9,豆美味豆花團,(13 Reviews),Below $50
"Shop SHS 10, Sheung Shui MTR Station,",82,0,Japanese,7,Yoshinoya 吉野家,(14 Reviews),$51-100
"3/F, Choi Yuen Shopping Centre, Choi Yuen Estate,",295,6,Hong Kong Style,21,Cable Car Restaurant 纜車餐廳,(50 Reviews),Below $50
"2/F, Shek Wu Hui Municipal Services Building,",281,4,Hong Kong Style,27,強記大排檔,(41 Reviews),$51-100
"G/F, 109 San Shing Avenue,",183,3,Italian,11,Twins Bistro 孖寶小館,(21 Reviews),$101-200
"Levels 1 and 2 of the Podium of Lung Fung Garden, 33 Lung Sum Avenue,",264,7,Guangdong,14,Pier 88 稻香超級漁港,(28 Reviews),$101-200
"1/F, 98 San Fung Avenue,",161,5,Guangdong,16,金都海鮮酒家,(44 Reviews),$51-100
"Shop C, G/F., 1 San Cheung Street,",274,1,Sichuan,8,Skewer Sister 串燒妹,(17 Reviews),Below $50
"Shop G05, G/F, Spot, 48 Lung Sum Avenue,",114,7,Japanese,8,Italian Tomato Café,(24 Reviews),$51-100
"G/F, 166 Jockey Club Road,",325,4,Thai,17,Thai Empire 泰皇悅,(32 Reviews),$51-100
"Flat B3, LG/F, Valiant Industrial Centre, 2-12 Au Pui Wan Street,",242,1,Italian,7,Pasta Concept 意式關係,(16 Reviews),Below $50
"Shop 9A-9B, 1/F, Shatin Galleria, 18-24 Shan Mei Street,",129,3,Taiwan,7,Greenland Corner 綠野仙踪,(20 Reviews),$51-100
"Room G, 6/F, International Industrial Centre, 2 Kwei Tei Street,",31,0,International,6,Harvest Foods 豐作,(7 Reviews),$201-400
"Shop C7, G/F, Valiant Industrial Centre, 2-12 Au Pui Wan Street,",87,0,Guangdong,4,Golden Cuisine 金悅軒,(5 Reviews),Below $50
"Shop 08A, G/F, Sha Tin Galleria, 18-24 Shan Mei Street,",53,0,French,3,Crostini Bakery & Cafe,(4 Reviews),Below $50
"Shop G08, G/F, Sui Wo Court Commercial Centre, 13 Sui Wo Road,",22,1,Hong Kong Style,8,包餃店,(11 Reviews),Below $50
"Shop G92-93, Plaza Ascot, 1 Tsun King Road,",110,2,Western,7,Balencia Bakery & Cafe,(11 Reviews),$51-100
"Shop G, G/F, Universal Industrial Centre, 19-25 Shan Mei Street,",28,0,Hong Kong Style,3,Tasty Star 星滋味餐廳,(5 Reviews),Below $50
"2/F Shatin Galleria, 18-25 Shan Mei Street,",144,0,Guangdong,1,Dragon Delight 龍悅,(4 Reviews),$51-100
"Shop G70. G/F, Plaza Ascot, 1 Tsun King Road,",80,0,Japanese,5,Beppu Ekimae 別府駅前料理,(9 Reviews),$101-200
"Shop 323A, 3/F, Jubilee Square, 2-18 Lok King Street,",32,0,Hong Kong Style,2,Super Super 一粥麵,(5 Reviews),Below $50
"Shop G22-30, G/F, Plaza Ascot, 1 Tsun King Road,",37,0,Hong Kong Style,3,Circle Cake Shop 西洋果子店 ,(3 Reviews),Below $50
火炭山尾街沙田商業中心9-11舖,197,6,Guangdong,8,(Delivery only),(32 Reviews),$51-100
"Shop B, G/F, Back Block, 184 Jockey Club Road,",426,0,Hong Kong Style,6,艾粒是叻,(8 Reviews),Below $50
"Shop 601, 6/F, Spot, 48 Lung Sum Avenue,",536,1,Chiu Chow,17,Chiuchow Garden Restaurant 潮江春,(23 Reviews),$101-200
"Shop 201, 2/F, Tin Ping Shopping Centre, Tin Ping Estate, 48 Tin Ping Road,",117,1,Guangdong,14,Fulum Palace 富臨皇宮,(23 Reviews),$101-200
"G/F, 10 San Cheung Street,",634,3,Hong Kong Style,15,辛鮮,(23 Reviews),$101-200
"15 San Kin Street,",778,0,Hong Kong Style,12,To Kee Coffee Shop 杜記茶餐廳,(13 Reviews),Below $50
"G/F, 21 San Cheung Street,",698,2,Western,14,Homy Cafe,(24 Reviews),$51-100
"Shop 2228, 2/F, Sheung Shui Centre, 3 Chi Cheong Road,",224,1,Guangdong,9,V·Taste 港味,(20 Reviews),$51-100
"G/F, 168 Jockey Club Road,",853,5,Taiwan,11,洪祖師擔仔麵,(39 Reviews),Below $50
"Shop 9, 2/F, Shek Wu Hui Municipal Services Building,",713,5,Hong Kong Style,54,東莞佬粥店,(75 Reviews),Below $50
"G/F, 154 Horse Club Road,",445,13,Hong Kong Style,65,Rainbow Dessert 彩虹甜品屋,(115 Reviews),Below $50
"G/F, 89 San Shing Ave,",385,0,Hong Kong Style,20,Kau Li Heung Restaurant 九里香茶餐廳,(30 Reviews),Below $50
"Shop 2210, 2/F, Sheung Shui Centre, 3 Chi Cheong Road,",320,1,Taiwan,9,TeaWood Taiwanese Cafe & Restaurant 茶木‧台式休閒餐廳,(28 Reviews),$51-100
"G/F, 6 San Cheung Street,",281,2,Japanese,10,Aomori Ryouri 青森二丁目,(24 Reviews),$51-100
"Shop 2202, 2/F, The Podium, Sheung Shui Centre, 3 Chi Cheong Road,",183,0,Shanghai,8,Shanghai Lao Lao 上海姥姥,(11 Reviews),$51-100
"Shop R402, 4/F, Choi Yuen Plaza, 8 Choi Yuen Road,",1163,3,Korean,12,自助燒 SO GRILL,(24 Reviews),$101-200
"G/F, 160 Jockey Club Road,",606,2,Hong Kong Style,16,Wing Fat Restaurant 永發茶餐廳,(25 Reviews),Below $50
"Shop No. 3, G/F, Leader Industrial Centre, 57-59 Au Pui Wan Street (Main Entrance - Fo Tan Road),",7454,18,Hong Kong Style,54,Fooody 伙食工業,(140 Reviews),$51-100
"Flat I, 10/F, Valiant Industrial Centre, 2-12 Au Pui Wan Street,",1009,1,Western,41,Steak Workshop,(46 Reviews),$401-800
"Flat 23-26, 3/F, Block AB, Wah Lok Industrial Building, 31-41 San Mei Street,",1400,0,Western,23,Canapés Room 圓點工房,(29 Reviews),$51-100
"G/F, 13 Au Pui Wan Street,",1335,2,Guangdong,23,Tao Heung Training Restaurant 稻香訓練酒樓,(42 Reviews),$101-200
"Shop 16, 1/F, Shatin Galleria, 18-24 Shan Mei Street,",1382,1,Italian,14,October's Cafe 拾悦咖啡,(24 Reviews),Below $50
"Fo Tan Cooked Food Market (East), Shan Mei Street,",3118,6,Hong Kong Style,57,泰源大排檔,(79 Reviews),Below $50
"Room 1215, Wah Yiu Industrial Centre, 30-32 Au Pui Wan Street,",2265,0,Western,9,Out Of Cafe,(15 Reviews),$51-100
"Shan Mei Street, Food Market, Fo Tan East,",2091,41,Hong Kong Style,87,Chung Chung Food Shop 津津食家,(182 Reviews),$101-200
"Room 203, 2/F, West Wing, World Wide Industrial Centre, 43-47 Shan Mei Street,",1284,0,Italian,14,Fresh & Green 綠色煮意,(18 Reviews),$51-100
"G/F, 60 Fo Tan Village,",250,2,Western,13,@Home Kitchen,(18 Reviews),$51-100
"Shop A5, G/F, On Wah Industrial Building, 41-43 Au Pui Wan Street (MTR exit D),",607,1,Korean,15,K-Pop snack,(19 Reviews),Below $50
"Flat B, 10/F, Sha Tin Industrial Building, 22-28 Wo Shui Street,",778,2,Guangdong,7,吳師府,(11 Reviews),$201-400
"Workshop B, 14/F, Century Industrial Centre,  No. 33-35 Au Pui Wan Street,",1291,0,Hong Kong Style,5,yú teahouse 瑜茶舍,(5 Reviews),$51-100
"Room 406, 4/F, Wah Lai Industrial Centre, 10-14, Kwei Tei Street,",756,1,International,8,O Veggie 華麗耆素,(10 Reviews),$51-100
"Shop 4G, G/F, Wah Wai Industrial Centre, 38-40 Au Pui Wan Street,",308,0,Guangdong,11,Drink氣鍋,(12 Reviews),$201-400
"Kat O Main Street, Crooked Island,",35,0,Hong Kong Style,1,吉澳茶果檔,(1 Reviews),Below $50
"Shop L6, 2/F, Kwu Tung Market, Kwu Tung Market,",9,0,Thai,1,Tiger Chef 泰家廚房,(1 Reviews),Below $50
"G/F, 91 San Shing Road,",11,0,Hong Kong Style,1,Ah Loy Noodles 亞來麵檔,(1 Reviews),Below $50
"16 Kat O Main Street,,",18,0,Hong Kong Style,1,榮記海鲜館,(1 Reviews),$51-100
"Shop 13, 2/F, Shek Wu Hui Municipal Services Building,",6,0,Hong Kong Style,9,Hing Kee Roasted Meat Shop 興記燒臘專家,(2 Reviews),Below $50
"Shop 38-41 & 45, 3/F, Choi Yuen Shopping Centre,",47,0,Hong Kong Style,1,Osa 奧莎,(14 Reviews),Below $50
"Landmark North Bus Terminal, 39 Lung Sum Avenue,",15,1,Hong Kong Style,2,KMB Staff Canteen 九巴茶水站,(1 Reviews),Below $50
"Shop S1 & S5, 1/F, Kwu Tung Market, Kwu Tung Road,",13,1,Hong Kong Style,0,東華記粉麵,(4 Reviews),Below $50
"Shop A, G/F, 2 San Cheung Street,",14,0,Hong Kong Style,1,阿Be茶記,(3 Reviews),Below $50
"Shop 5E, G/F, Sunningdale Garden, 8 Chi Cheong Road,",21,0,Hong Kong Style,5,金怡餐廳小廚,(1 Reviews),Below $50
"Shop 432A, 4/F, Landmark North, 39 Lung Sum Avenue,",9,0,Shanghai,1,上海么鳳,(1 Reviews),Below $50
"Shop G83A & G84-G85, G/F, Plaza Ascot, 1 Tsun King Road,",9,1,American,3,McDonald's 麥當勞,(9 Reviews),Below $50
"G/F., 4 Lung Sum Ave, Sheung Shui , NT,",2540,6,Japanese,149,Sakana Takumi 漁匠料理,(181 Reviews),$101-200
"16/F, Yue Cheong Centre, 1-3 Wong Chuk Yeung Street,",5,0,Hong Kong Style,2,館一千,(3 Reviews),Below $50
"2/F., Shatin Galleria, 18-24 Shan Mei Street,",13,2,Hong Kong Style,1,食之坊,(4 Reviews),Below $50
"Shop G86-87, Plaza Ascot, 1 Tsun King Road,",6,0,Hong Kong Style,1,Fairwood 大快活,(1 Reviews),Below $50
"Workshop 7, 13/F, Harry Industrial Building, 49-51 Au Pui Wan Street,",22,1,Western,1,Fancy Cake Fancy Cake,(2 Reviews),$201-400
"Shop F, 3/F, Leapont Industrial Building, 18-28 Wo Liu Hang Road,",14,4,Hong Kong Style,9,聯邦食堂,(1 Reviews),Below $50
"Shop C, 13/F, On Wah Industrial Building, 41-43 Au Pui Wan Street,",11,1,International,0,O Hey Gourmet 蠔喜高級食材店 ,(18 Reviews),$51-100
火炭村66號地下,4,3,Hong Kong Style,3,(Delivery only),(1 Reviews),Below $50
"Shop D3-D4, G/F, 63 San Hong Street,",2551,5,Japanese,73,Menya Yamashita 麵家山下,(110 Reviews),$51-100
"Shop 503, 5/F, The Spot, 48 Lung Sum Avenue, Shek Wu Hui,",754,17,Western,76,Sidewalk Cafe Restaurant 茜廊餐廳,(120 Reviews),$51-100
"10, San Shing Ave,",3618,46,Hong Kong Style,207,Guong Shing Ice Cafe 廣成冰室,(354 Reviews),Below $50
"Shop 503-505, 5/F, Landmark North, 39 Lung Sum Avenue,",521,11,Shanghai,53,Shanghai Po Po 上海婆婆,(86 Reviews),$101-200
"G/F, 21 Fu Hing Street,",346,0,International,24,Pirate King Restaurant 海盜王餐廳,(33 Reviews),$51-100
"Shop CF23, 2/F, Shek Wu Hui Market,",1166,1,Guangdong,31,三和火鍋雞煲,(37 Reviews),$101-200
"Shop B, 148 Jockey Club Road,",560,1,Hong Kong Style,23,珍苑麵家,(33 Reviews),Below $50
"1 Lin Tong Mei Estate, Fan kam Road ,",2097,5,Hong Kong Style,51,Lotus Cafe 榮昌茶座,(79 Reviews),Below $50
"Lot 1049, 95 Ho Sheung Heung,",642,0,Hong Kong Style,20,鴻淘士多‧羅太豆花,(26 Reviews),Below $50
"Shop R3-R4, 3/F, Choi Yuen Plaza, 8 Choi Yuen Road,",206,11,Italian,27,Euro Pastry Restaurant 歐意餐廳,(58 Reviews),$51-100
"Shop 11, Ching Ho Shopping Centre, Ching Ho Estate,",7,1,Hong Kong Style,1,Cutie Bakery 得意包,(3 Reviews),Below $50
"G/F., Block A, No. 10, Fu Hing St., Shek Wu Hui, Sheung Shui, N.T.,",780,18,Japanese,43,Mihachi Tsukiji 御八築地,(99 Reviews),Below $50
"G/F, 105-107 San Shing Avenue,",399,1,Japanese,26,竹島水產 西日放題,(32 Reviews),$201-400
"G/F,  11 San Hong Street,",772,2,Hong Kong Style,39,明記腸粉,(59 Reviews),Below $50
"Shop 2056-2058, 2/F, Sheung Shui Centre, 3 Chi Cheong Road,",318,2,Western,22,euro go go,(39 Reviews),$51-100
"Shop 3D, G/F, Block 3, Sunningdale Garden, 8 Chi Cheong Road,",12,3,Hong Kong Style,4,原味坊,(1 Reviews),Below $50
"Shop 24, 3/F, Choi Yuen Plaza, 8 Choi Yuen Road,",8,0,Hong Kong Style,1,Café de Coral 大家樂,(2 Reviews),Below $50
"Shop SHS4, Sheung Shui Station,",7,1,Singaporean,0,Bee Cheng Hiang 美珍香,(1 Reviews),Below $50
"Shops 401, 4/F, Spot, 48 Lung Sum Avenue, Shek Wu Hui,",67,1,Japanese,5,Ajisen Ramen 味千拉麵,(13 Reviews),$51-100
"G/F, 1 San Cheung Street,",38,0,Hunan,1,Wah Kee Hunan Food 華記湖南風味,(1 Reviews),Below $50
保健路9號北區醫院地下大堂B舖,20,2,Hong Kong Style,1,Cheers Cafe,(2 Reviews),Below $50
新豐路29號,21,1,Hong Kong Style,2,華樂餐廳,(3 Reviews),Below $50
"Shop 104, 1/F, Metroprlis Plaza, 8 Lung Wan Street,",19,0,Hong Kong Style,2,Maxim's Cake Shop 美心西餅,(12 Reviews),Below $50
"Shop F, 26-28 Lung Sum Avenue,",4,4,Guangdong,0,Yeung Wo Tong 養和堂,(1 Reviews),Below $50
"Shop 2, UG/F, Harry Industrial Building, 49-51 Au Pui Wan Street,",5,1,Hong Kong Style,32,Chiu Kwun Fast Food 潮觀快餐廳,(1 Reviews),Below $50
"Shop 10, G/F, Wah Yiu Industrial Centre, 30-32 Au Pui Wan Street,",3,0,Guangdong,9,波叔點心專門店,(35 Reviews),Below $50
"Shop K, G/F, On Wah Industrial Building, 41-43 Au Pui Wan Street,",2,0,Hong Kong Style,2,適合保健坊,(11 Reviews),Below $50
"Shop 050-051, 2/F, Zone A, Tai Po Mega Mall, 9 On Pong Road,",95,1,Taiwan,7,TenRen's Tea 天仁茗茶,(11 Reviews),Below $50
"G/F, Wah Hing Building, 29 Yan Hing Street, Tai Po Market,",457,1,International,8,Chef Restaurant 肥哥哥餐廳,(12 Reviews),$51-100
"G/F, 7 Kwong Fuk Lane,,",681,2,Hong Kong Style,53,Sun Ming Fat Restaurant 新明發食家,(74 Reviews),Below $50
"Shop B1, G/F, Mei Sun Building, 4-20 Kau Hui Chik Street,",834,3,Hong Kong Style,8,Calf Bone King 小肥牛火鍋活魚專門店,(22 Reviews),$101-200
"Shop 13 Treasure Garden,,",112,5,Guangdong,12,Kwong Kee Congee Shop 廣記粥店,(39 Reviews),Below $50
"G/F, 1 Nam Shing Street,",197,1,Vietnamese,7,39 Vietnamese Cooking 39越南屋,(17 Reviews),$51-100
"Shop 5-9, G/F, The Graces, Providence Bay, 9 Fo Chun Road,",236,0,Western,6,Dishes,(6 Reviews),$101-200
"Shop 556-557, 2/F, Zone C, Tai Po Mega Mall, 9 On Pong Road, Tai Po,",278,2,Taiwan,5,TeaWood Taiwanese Cafe & Restaurant 茶木‧台式休閒餐廳,(18 Reviews),$51-100
"Shop 674-678, G/F, Zone D, Tai Po Mega Mall, 9 On Pong Road,",274,0,Guangdong,3,Ho Choi Seafood Restaurant 好彩海鮮酒家,(9 Reviews),$101-200
"G/F, 26-28E Tai Ming Lane, Tai Po Market,",302,5,Shanghai,15,余曉記上海包,(30 Reviews),Below $50
"Tai Po Plaza, No.1 On Tai Road,",193,1,Hong Kong Style,12,碗仔翅大王,(19 Reviews),Below $50
"Shop G66, Tai Po Plaza, No.1 On Tai Road,",378,8,Hong Kong Style,21,Chung Kee Dessert 松記糖水,(57 Reviews),Below $50
"Shop 82, Fortune Plaza,",118,3,Guangdong,8,Yuen Kee Noodle 苑記粉麵茶餐廳,(24 Reviews),Below $50
"G/F-1/F, Wing Fai Plaza, 29-35 Ting Kok Road,",278,6,Guangdong,26,Star Seafood Restaurant 明星海鮮酒家,(58 Reviews),$101-200
"Shop 15, G/F, Beautiful Garden, 11 Chui Lok Street,",154,0,Japanese,5,Oi-Shi-Sushi 千の味刺身壽司專門店,(10 Reviews),$51-100
"Shop CFS19 2/F Tai Po Market Complex, 8 Heung Sze Wui Street,",65,0,Cooked Food Center,3,YU ZAI FISH SOUP RICE NOODLES 魚仔魚湯米線,(4 Reviews),Below $50
"No. 1, Cooked Food Stall, Choi Wan Estate,,",15,3,Cooked Food Center,5,Ying Hing 義興小食甜品店,(9 Reviews),Below $50
"Shop 3, 1/F, Nam Long Shan Road Cooked Food Market, 1 Nam Long Shan Road,",359,4,Cooked Food Center,9,Pattaya 芭提雅,(15 Reviews),Below $50
"Stall 6, Sham Tseng Temporary Market,",29,0,Cooked Food Center,1,Mama at Home 家嚐飯,(2 Reviews),Below $50
"Shop CF5, Cooked Food Centre, 2/F, Smithfield Municipal Service Building, 12K Smithfield, Kennedy Town,",90,0,Cooked Food Center,1,Kuen Kee 權記小菜館,(4 Reviews),Below $50
"Shop CF4, Cooked Food Centre, 2/F, Shek Tong Tsui Municipal Services Building, 470 Queen's Road West, Shek Tong Tsui,",78,0,Cooked Food Center,6,海南咖啡,(11 Reviews),Below $50
"Shop CF2, Aldrich Bay Market, 15 Aldrich Bay Road,",67,0,Cooked Food Center,1,Somchit Thai Food 泰富味,(3 Reviews),$51-100
聯和墟聯安街市政大廈2樓熟食中心,21,0,Cooked Food Center,3,富貴茶餐小廚,(4 Reviews),Below $50
"Shop 7-9, Cooked Food Centre, Java Road Municipal Services Building, 99 Java Road,",34,0,Cooked Food Center,1,長發小廚,(1 Reviews),$51-100
"Cooked Food Centre, 1/F, To Kwa Wan Market, 165 Ma Tau Wai Road,",72,0,Cooked Food Center,1,大廚出馬,(3 Reviews),Below $50
"Stall 1&2, 2/F, Cooked Food Centre, Ngau Chi Wan,",112,0,Cooked Food Center,6,三合茶室,(7 Reviews),Below $50
"Shop G79, Plaza Ascot, 1 Tsun King Road,",14,1,Western,5,Cafe Mania ,(14 Reviews),$51-100
"Shop F11, 2/F, Choi Hung Road Market, 8 Sheung Hei Street,",78,0,Cooked Food Center,2,Hakka Feast 客家宴盆菜,(4 Reviews),$51-100
"Shop C10, 1/F, Ngau Tau Kok Cooked Food Market, 183 Ngau Tau Kok Road,",16,0,Cooked Food Center,3,濱記,(4 Reviews),Below $50
"Shop CF14-15, Cooked Food Centre, 2/F, Kwun Chung Municipal Services Building, 17 Bowring Street,",19,0,Cooked Food Center,3,合成,(4 Reviews),Below $50
"Shop C2, Mui Wo Cooked Food Market, Mui Wo Ferry Pier Road, Mui Wo,",15,0,Cooked Food Center,1,Ke Ho Restaurant 幾好餐廳,(3 Reviews),Below $50
